KEY	ERROR	SCORE	OVERLAP TYPE
origSeq_54-seq8_28	No error	0.553379083	Bad Overlap
origSeq_54-seq7_85	No error	0.573082322	Bad Overlap
origSeq_54-seq6_34	No error	0.56513234	Bad Overlap
origSeq_56-seq4_93	No error	0.608517747	Bad Overlap
origSeq_57-origSeq_98	No error	0.692203201	Good Overlap
origSeq_58-seq7_60	No error	0.567495304	Bad Overlap
origSeq_58-seq5_89	No error	0.606863599	Bad Overlap
origSeq_58-seq6_73	No error	0.589716296	Bad Overlap
origSeq_60-seq7_45	No error	0.592927342	Bad Overlap
origSeq_61-seq6_88	No error	0.583560574	Bad Overlap
